n,              1,      10,     100,        1000,       10000
"a=;",          9.104,  21.303, 137.539,    1184.066,   11672.532
"=;",           4.958,  18.745, 134.472,    1120.29,    11611.379
"var = 0;",     4.21,   4.485,  21.037,     160.017,    1287.77
"var = ;",      4.878,  18.198, 142.413,    1101.163,   11560.776
"var a = ;",    5.136,  19.023, 136.764,    1304.528,   12044.759
"while(){}",    9.409,  54.008, 453.288,    4265.711,   44817.017
"if(){}",       13.386, 80.976, 756.936,    6393.951,   70559.842
